name:,اسم غذا,محتویات غذا,قیمت,شماره آشپزخانه,اسم عکس غذا,نام پوشه ای که عکس غذا ها در آن قرار دارد
Stromboli Hot Dog,استرامبولی هات داگ ,خمیر سس مخصوص هات داگ قارچ پنیر ,102000,9125497421,Stromboli Hot Dog.png,assets/images/Stromboli
Stromboli Roast Beef,استرامبولی رست بیف ,خمیر سس مخصوص فیله گوساله قارچ پنیر ورقه‌ای,102000,9125497421,Stromboli Roast Beef.png,assets/images/Stromboli
Stromboli Chicken,استرامبولی چیکن ,خمیر سس آلفردو قارچ و پنیر مرغ ,102000,9125497421,Stromboli Chicken.png,assets/images/Stromboli
Stromboli Ham,استرامبولی ژامبون ,ژامبون میکس قارچ سس مخصوص پنیر ,102000,9125497421,Stromboli Ham.png,assets/images/Stromboli
Stromboli Burger,استرامبولی برگر ,خمیر برگر پپرونی ارچ پنیر ورقه‌ای پنیر سس مخصوص,102000,9125497421,Stromboli Burger.png,assets/images/Stromboli
Chicken Steak,استیک مرغ ,۲۵۰ گرم مرغ با سبزیجات ,102000,9125497421,Chicken Steak.png,assets/images/Steak
Beef Tenderloin Steak,استیک فیله گوساله ,۲۵۰ گرم فیله گوساله با سبزیجات ,102000,9125497421,Beef Tenderloin Steak.png,assets/images/Steak
Toucan Special Steak,استیک ویژه توکان ,۱۵۰ گرم مرغ ۱۵۰ گرم فیله گوساله با سبزیجات,102000,9125497421,Toucan Special Steak.png,assets/images/Steak
Stromboli Ham,12,ژامبون میکس قارچ سس مخصوص پنیر ,102000,9125497421,Stromboli Ham.png,assets/images/Stromboli
Stromboli Burger,12,خمیر برگر پپرونی ارچ پنیر ورقه‌ای پنیر سس مخصوص,102000,9125497421,Stromboli Burger.png,assets/images/Stromboli
Chicken Steak,12,۲۵۰ گرم مرغ با سبزیجات ,102000,9125497421,Chicken Steak.png,assets/images/Steak
Beef Tenderloin Steak,12,۲۵۰ گرم فیله گوساله با سبزیجات ,102000,9125497421,Beef Tenderloin Steak.png,assets/images/Steak
Toucan Special Steak,12,۱۵۰ گرم مرغ ۱۵۰ گرم فیله گوساله با سبزیجات,102000,9125497421,Toucan Special Steak.png,assets/images/Steak
